2026-07-18 06:35:15,730 [INFO] backend: Initializing FastAPI Backend server...
2026-07-18 06:35:15,733 [INFO] backend: Mounted static outputs route at: /static (pointing to D:\Projects\AS\outputs)
2026-07-18 06:35:15,734 [INFO] backend: Initializing FastAPI Backend server...
2026-07-18 06:35:15,736 [INFO] backend: Mounted static outputs route at: /static (pointing to D:\Projects\AS\outputs)
2026-07-18 06:35:16,866 [INFO] backend: Registered API routes successfully.
2026-07-18 06:35:16,877 [INFO] backend: Lifespan startup: Initializing Earth Engine and loading model weights...
2026-07-18 06:35:16,877 [INFO] backend: Cleaning outputs directory of stale files...
2026-07-18 06:35:24,830 [INFO] backend: Inference device: cuda
2026-07-18 06:35:24,830 [INFO] backend: Loading U-Net weights from: D:\Projects\AS\weights\unet_forest_loss.pth
2026-07-18 06:35:25,116 [INFO] backend: Loading YOLOv8 weights from: D:\Projects\AS\weights\yolov8_encroachment.pt
2026-07-18 06:35:25,216 [INFO] backend: AI models pre-loaded in memory successfully!
2026-07-18 06:35:25,216 [INFO] apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-18 06:35:25,219 [INFO] apscheduler.scheduler: Added job "Check for unacknowledged alerts to escalate" to job store "default"
2026-07-18 06:35:25,219 [INFO] apscheduler.scheduler: Scheduler started
2026-07-18 06:35:25,220 [INFO] backend.scheduler: Escalation Background Scheduler Started. Running every 1 minute.
2026-07-18 06:35:30,222 [INFO] apscheduler.executors.default: Running job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:35:30 IST)" (scheduled at 2026-07-18 06:35:30.216926+05:30)
2026-07-18 06:35:30,248 [INFO] apscheduler.executors.default: Job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:35:35 IST)" executed successfully
2026-07-18 06:35:35,230 [INFO] apscheduler.executors.default: Running job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:35:40 IST)" (scheduled at 2026-07-18 06:35:35.216926+05:30)
2026-07-18 06:35:35,232 [INFO] apscheduler.executors.default: Job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:35:40 IST)" executed successfully
2026-07-18 06:35:40,227 [INFO] apscheduler.executors.default: Running job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:35:45 IST)" (scheduled at 2026-07-18 06:35:40.216926+05:30)
2026-07-18 06:35:40,229 [INFO] apscheduler.executors.default: Job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:35:45 IST)" executed successfully
2026-07-18 06:35:45,225 [INFO] apscheduler.executors.default: Running job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:35:50 IST)" (scheduled at 2026-07-18 06:35:45.216926+05:30)
2026-07-18 06:35:45,227 [INFO] apscheduler.executors.default: Job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:35:50 IST)" executed successfully
2026-07-18 06:35:50,218 [INFO] apscheduler.executors.default: Running job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:35:55 IST)" (scheduled at 2026-07-18 06:35:50.216926+05:30)
2026-07-18 06:35:50,219 [INFO] apscheduler.executors.default: Job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:35:55 IST)" executed successfully
2026-07-18 06:35:55,223 [INFO] apscheduler.executors.default: Running job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:36:00 IST)" (scheduled at 2026-07-18 06:35:55.216926+05:30)
2026-07-18 06:35:55,225 [INFO] apscheduler.executors.default: Job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:36:00 IST)" executed successfully
2026-07-18 06:36:00,221 [INFO] apscheduler.executors.default: Running job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:36:05 IST)" (scheduled at 2026-07-18 06:36:00.216926+05:30)
2026-07-18 06:36:00,221 [INFO] apscheduler.executors.default: Job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:36:05 IST)" executed successfully
2026-07-18 06:36:05,223 [INFO] apscheduler.executors.default: Running job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:36:10 IST)" (scheduled at 2026-07-18 06:36:05.216926+05:30)
2026-07-18 06:36:05,228 [INFO] apscheduler.executors.default: Job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:36:10 IST)" executed successfully
2026-07-18 06:36:10,219 [INFO] apscheduler.executors.default: Running job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:36:15 IST)" (scheduled at 2026-07-18 06:36:10.216926+05:30)
2026-07-18 06:36:10,223 [INFO] apscheduler.executors.default: Job "Check for unacknowledged alerts to escalate (trigger: interval[0:00:05], next run at: 2026-07-18 06:36:15 IST)" executed successfully
